#MPRN: 10000826638
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-01-01,0.05,0.05,0.049,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.049,0.05,0.05,0.05,0.049,0.066,0.101,0.098,0.098,0.082,0.056,0.057,0.057,0.058,0.057,0.057,0.056,0.055,0.056,0.056,0.055,0.057,0.067,0.099,0.098,0.094,0.096,0.109,0.137,0.152,0.394,0.785,0.533,0.314,0.266,0.258,0.249,0.302
2024-01-02,0.158,0.099,0.098,0.092,0.065,0.087,0.125,0.113,0.126,0.118,0.101,0.086,0.067,0.092,0.061,0.093,0.063,0.096,0.126,0.837,0.591,0.376,0.48,0.468,0.556,0.255,0.229,0.112,0.091,0.115,0.115,0.112,0.511,0.471,0.21,1.002,0.721,0.66,1.237,0.722,0.383,0.362,0.349,0.366,0.321,0.277,0.325,0.298
2024-01-03,0.254,0.174,0.094,0.093,0.124,0.105,0.126,0.078,0.083,0.056,0.088,0.055,0.087,0.054,0.062,0.101,0.1,0.1,0.086,0.114,0.136,1.05,1.008,0.529,0.698,0.403,0.133,0.117,0.104,0.181,0.332,0.795,0.66,0.575,0.254,0.339,0.978,0.643,0.347,0.347,0.254,0.204,0.208,0.356,0.176,0.215,0.249,0.242
2024-01-04,0.254,0.157,0.073,0.062,0.058,0.062,0.059,0.06,0.056,0.065,0.107,0.128,0.099,0.072,0.105,0.071,0.082,0.071,0.099,0.179,0.233,0.472,0.437,0.337,0.36,0.308,0.278,0.398,0.414,0.33,0.687,0.217,0.279,0.503,0.227,0.31,0.437,0.802,0.829,0.398,0.436,0.492,0.459,0.469,0.292,0.269,0.188,0.1
2024-01-05,0.069,0.057,0.061,0.06,0.074,0.107,0.135,0.089,0.056,0.058,0.057,0.092,0.057,0.059,0.105,0.096,0.096,0.129,0.13,0.344,0.329,0.534,0.437,0.443,0.502,0.257,0.128,0.242,0.185,0.213,0.162,0.152,0.153,0.166,0.172,0.168,0.255,0.334,0.342,0.346,0.367,0.41,0.389,0.264,0.28,0.256,0.249,0.325
2024-01-06,0.243,0.195,0.239,0.236,0.213,0.101,0.079,0.102,0.059,0.06,0.058,0.06,0.061,0.096,0.107,0.148,0.131,0.103,0.096,0.518,1.11,0.264,0.685,0.264,0.481,0.716,0.639,0.322,0.386,0.243,0.117,0.114,0.155,0.124,0.158,0.168,0.56,1.062,0.763,1.03,0.54,0.52,0.639,0.454,0.488,0.356,0.405,0.467
2024-01-07,0.454,0.423,0.333,0.281,0.212,0.179,0.168,0.129,0.116,0.163,0.13,0.166,0.197,0.173,0.127,0.118,0.135,0.107,0.109,0.152,0.113,0.229,0.4,0.666,0.435,0.408,1.209,0.358,0.407,0.454,0.499,0.209,0.607,0.311,0.529,0.447,0.749,0.898,1.357,0.825,0.97,1.282,0.271,0.283,0.26,0.31,0.289,0.308
2024-01-08,0.165,0.101,0.067,0.055,0.089,0.055,0.056,0.055,0.053,0.082,0.069,0.103,0.097,0.097,0.148,0.253,0.895,0.115,0.162,0.113,0.103,0.17,0.153,0.135,0.135,0.15,0.144,0.09,0.103,0.11,0.192,0.117,0.122,0.162,0.172,0.171,0.249,0.231,0.299,0.827,1.059,1.118,0.72,0.312,0.267,0.902,0.371,0.247
2024-01-09,0.162,0.109,0.12,0.104,0.056,0.092,0.097,0.071,0.087,0.143,0.125,0.098,0.091,0.086,0.054,0.067,0.486,0.144,0.125,0.131,0.345,0.162,0.133,0.1,0.135,0.107,0.088,0.194,0.142,0.209,0.138,0.147,0.178,0.121,0.1,0.121,0.879,0.567,0.642,1.169,1.625,0.923,0.456,0.298,0.267,0.357,0.234,0.1
2024-01-10,0.097,0.104,0.068,0.109,0.157,0.114,0.113,0.113,0.08,0.076,0.102,0.07,0.084,0.11,0.073,0.236,0.181,0.528,0.147,0.163,0.781,0.155,0.114,0.131,0.184,0.16,0.141,0.134,0.154,0.172,0.114,0.162,0.197,0.248,0.125,0.184,0.14,0.624,0.368,0.4,0.452,0.908,0.503,0.331,0.355,0.331,0.326,0.206
2024-01-11,0.148,0.156,0.122,0.099,0.1,0.14,0.06,0.056,0.08,0.075,0.057,0.061,0.123,0.104,0.096,0.161,0.665,0.827,0.251,0.138,0.172,0.218,0.22,0.117,0.089,0.124,0.092,0.086,0.145,0.136,0.12,0.163,0.137,0.509,0.896,0.789,0.395,0.657,0.606,0.677,0.597,0.557,1.17,0.28,0.311,0.306,0.286,0.199
2024-01-12,0.1,0.132,0.136,0.096,0.068,0.091,0.052,0.054,0.097,0.054,0.055,0.114,0.103,0.097,0.119,0.095,0.835,0.107,0.148,0.096,0.127,0.139,0.135,0.13,0.13,0.09,0.193,0.087,0.087,0.141,0.088,0.117,0.476,0.66,1.035,0.546,0.251,0.175,0.263,0.349,0.32,0.299,0.333,0.263,0.824,0.302,0.293,0.218
2024-01-13,0.235,0.251,0.201,0.162,0.203,0.156,0.146,0.161,0.098,0.102,0.134,0.096,0.099,0.139,0.095,0.118,0.155,0.622,0.167,0.155,0.144,0.124,0.236,0.389,0.632,1.149,0.331,0.452,0.897,0.388,0.231,0.122,0.183,0.152,0.15,0.127,0.164,0.198,0.16,0.129,0.115,0.514,0.444,0.268,0.254,0.255,0.26,0.337
2024-01-14,0.336,0.21,0.18,0.137,0.096,0.137,0.103,0.103,0.141,0.107,0.157,0.178,0.138,0.124,0.101,0.097,0.098,0.101,0.138,0.155,0.163,0.181,0.424,0.344,1.639,0.856,0.495,0.605,0.403,0.423,0.2,0.111,0.278,0.143,0.218,0.298,0.119,0.1,0.094,0.107,0.241,1.665,0.482,0.47,0.396,0.374,0.321,0.274
2024-01-15,0.111,0.119,0.061,0.067,0.131,0.099,0.105,0.132,0.058,0.059,0.101,0.06,0.056,0.34,0.28,0.609,1.029,0.185,0.568,0.243,0.298,0.427,0.09,0.071,0.056,0.057,0.092,0.065,0.102,0.273,0.229,0.121,0.089,0.161,0.087,0.106,0.14,0.395,0.636,0.8,0.611,1.692,0.583,0.299,0.271,0.359,0.21,0.175
2024-01-16,0.224,0.173,0.134,0.164,0.11,0.103,0.099,0.065,0.075,0.097,0.058,0.083,0.091,0.066,0.124,0.232,1.268,0.232,0.148,0.24,0.186,0.14,0.142,0.1,0.096,0.135,0.149,0.194,0.13,0.098,0.163,0.135,0.094,0.116,0.129,0.108,0.16,0.645,0.445,1.322,1.543,1.432,0.463,0.218,0.266,0.198,0.148,0.213
2024-01-17,0.241,0.15,0.08,0.094,0.081,0.057,0.089,0.08,0.056,0.112,0.119,0.1,0.135,0.065,0.056,0.395,0.92,0.087,0.313,0.134,0.142,0.182,0.135,0.133,0.094,0.1,0.09,0.122,0.111,0.131,0.277,0.222,0.149,0.138,0.305,0.683,0.874,0.689,0.335,0.435,0.471,0.396,0.597,0.626,0.346,0.276,0.383,0.186
