#MPRN: 10012947687
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-01-01,1.077,1.077,0.778,0.206,0.011,0.01,0.022,0.024,0.01,0.01,0.014,0.057,0.871,1.05,1.043,0.607,0.013,0.009,0.01,0.023,0.022,0.009,0.01,0.009,0.036,0.01,0.009,0.009,0.01,0.036,0.01,0.009,0.01,0.025,0.022,0.01,0.01,0.01,0.037,0.01,0.01,0.011,0.02,0.026,0.01,0.01,0.359,0.964
2024-01-02,1.066,1.07,0.76,0.217,0.01,0.011,0.01,0.035,0.01,0.01,0.011,0.06,0.864,1.03,1.012,0.594,0.01,0.009,0.026,0.017,0.01,0.009,0.034,0.01,0.009,0.01,0.033,0.01,0.01,0.017,0.025,0.01,0.01,0.026,0.018,0.01,0.01,0.031,0.014,0.01,0.01,0.034,0.011,0.011,0.01,0.027,0.369,0.927
2024-01-03,1.058,1.082,0.778,0.195,0.01,0.03,0.016,0.01,0.01,0.027,0.019,0.035,0.854,1.043,1.07,0.595,0.01,0.027,0.017,0.009,0.01,0.03,0.013,0.01,0.01,0.03,0.013,0.01,0.009,0.035,0.009,0.01,0.01,0.034,0.01,0.01,0.01,0.032,0.012,0.01,0.01,0.031,0.015,0.01,0.01,0.011,0.387,0.932
2024-01-04,1.056,1.06,0.782,0.19,0.011,0.01,0.035,0.011,0.01,0.01,0.028,0.047,0.865,1.04,1.032,0.599,0.009,0.01,0.01,0.031,0.015,0.009,0.01,0.009,0.038,0.009,0.01,0.009,0.028,0.018,0.009,0.01,0.02,0.025,0.009,0.01,0.01,0.033,0.015,0.01,0.01,0.01,0.027,0.022,0.01,0.01,0.37,0.945
2024-01-05,1.094,1.068,0.758,0.189,0.014,0.034,0.011,0.01,0.01,0.01,0.039,0.038,0.865,1.035,1.022,0.585,0.029,0.01,0.01,0.009,0.012,0.035,0.01,0.01,0.009,0.015,0.032,0.009,0.01,0.009,0.036,0.01,0.01,0.009,0.023,0.023,0.01,0.01,0.009,0.033,0.015,0.01,0.01,0.01,0.023,0.027,0.37,0.946
2024-01-06,1.062,1.061,0.786,0.191,0.01,0.01,0.01,0.032,0.018,0.01,0.01,0.038,0.881,1.083,1.046,0.583,0.009,0.01,0.012,0.038,0.009,0.01,0.009,0.01,0.009,0.041,0.009,0.009,0.01,0.014,0.034,0.009,0.01,0.009,0.016,0.746,0.517,0.501,0.543,1.077,1.024,0.573,0.629,1.414,0.902,0.666,0.945,1.485
2024-01-07,1.715,1.631,1.056,0.234,0.023,0.011,0.155,0.09,0.011,0.022,0.025,0.034,0.896,1.154,1.108,0.605,0.01,0.01,0.031,0.559,0.288,0.041,0.024,0.047,0.085,0.077,0.191,0.041,0.01,0.221,0.242,0.102,0.01,0.008,0.033,0.008,0.008,0.008,0.025,0.016,0.007,0.008,0.008,0.034,0.008,0.008,0.354,0.93
2024-01-08,1.055,1.038,0.739,0.206,0.011,0.008,0.008,0.032,0.008,0.008,0.008,0.053,0.879,1.039,1.026,0.588,0.018,0.007,0.007,0.029,0.01,0.007,0.007,0.031,0.009,0.007,0.007,0.017,0.024,0.007,0.008,0.007,0.034,0.008,0.007,0.008,0.008,0.035,0.007,0.008,0.007,0.008,0.035,0.008,0.008,0.007,0.36,0.958
2024-01-09,1.077,1.073,0.756,0.205,0.018,0.007,0.008,0.012,0.03,0.008,0.008,0.034,0.865,1.051,1.022,0.576,0.008,0.033,0.007,0.007,0.007,0.033,0.007,0.007,0.007,0.011,0.03,0.008,0.007,0.007,0.016,0.026,0.007,0.007,0.008,0.007,0.037,0.007,0.008,0.007,0.008,0.007,0.039,0.01,0.008,0.007,0.365,0.942
2024-01-10,1.087,1.068,0.76,0.19,0.016,0.027,0.008,0.008,0.008,0.01,0.034,0.037,0.864,1.031,1.012,0.588,0.007,0.007,0.007,0.02,0.021,0.007,0.008,0.007,0.022,0.021,0.007,0.007,0.007,0.008,0.036,0.008,0.007,0.007,0.008,0.019,0.027,0.008,0.008,0.007,0.008,0.013,0.033,0.008,0.007,0.008,0.366,0.953
2024-01-11,1.099,1.075,0.751,0.185,0.033,0.008,0.008,0.008,0.021,0.021,0.007,0.035,0.865,1.042,1.027,0.576,0.008,0.018,0.021,0.008,0.007,0.009,0.031,0.008,0.007,0.007,0.019,0.022,0.007,0.007,0.007,0.018,0.024,0.007,0.008,0.007,0.019,0.024,0.008,0.008,0.007,0.008,0.036,0.007,0.008,0.008,0.366,0.967
2024-01-12,1.05,1.047,0.747,0.211,0.008,0.008,0.008,0.029,0.011,0.008,0.008,0.042,0.897,1.051,1.03,0.569,0.027,0.008,0.007,0.017,0.022,0.007,0.007,0.008,0.031,0.008,0.007,0.007,0.027,0.013,0.007,0.007,0.008,0.033,0.007,0.008,0.007,0.01,0.033,0.007,0.008,0.008,0.007,0.035,0.008,0.008,0.363,0.942
2024-01-13,1.095,1.078,0.767,0.187,0.032,0.01,0.008,0.007,0.016,0.026,0.008,0.04,0.886,1.067,1.067,0.586,0.008,0.02,0.019,0.007,0.007,0.008,0.033,0.007,0.007,0.007,0.008,0.033,0.007,0.007,0.007,0.007,0.035,0.007,0.008,0.007,0.008,0.022,0.024,0.008,0.007,0.008,0.008,0.02,0.026,0.007,0.361,0.937
2024-01-14,1.062,1.089,0.763,0.192,0.008,0.034,0.008,0.008,0.008,0.011,0.03,0.035,0.87,1.05,1.059,0.617,0.007,0.007,0.007,0.034,0.007,0.007,0.008,0.008,0.033,0.007,0.007,0.007,0.018,0.023,0.007,0.007,0.011,0.036,0.072,0.076,0.286,0.114,0.217,0.075,1.069,1.123,1.227,1.179,1.12,1.129,1.318,1.473
2024-01-15,1.672,1.512,1.167,0.591,0.433,0.405,0.059,0.096,0.127,0.103,0.11,0.148,1,1.147,1.146,0.702,0.155,0.137,0.4,0.517,0.086,0.015,0.065,0.383,0.262,0.249,0.269,0.304,0.031,0.018,0.009,0.01,0.02,0.024,0.01,0.01,0.01,0.026,0.021,0.01,0.01,0.01,0.01,0.037,0.015,0.01,0.362,0.933
2024-01-16,1.058,1.077,0.778,0.189,0.011,0.01,0.01,0.01,0.033,0.025,0.01,0.044,0.894,1.049,1.032,0.582,0.013,0.042,0.009,0.01,0.01,0.009,0.01,0.01,0.009,0.018,0.037,0.01,0.01,0.009,0.01,0.009,0.036,0.016,0.01,0.01,0.01,0.01,0.01,0.01,0.043,0.012,0.01,0.011,0.01,0.01,0.373,0.954
2024-01-17,1.085,1.081,0.795,0.206,0.01,0.01,0.01,0.011,0.01,0.01,0.01,0.045,0.873,1.036,1.041,0.603,0.022,0.009,0.01,0.01,0.009,0.01,0.01,0.009,0.01,0.01,0.009,0.039,0.026,0.01,0.009,0.009,0.01,0.009,0.01,0.01,0.009,0.041,0.023,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.366,0.934
2024-01-18,1.058,1.063,0.763,0.189,0.011,0.017,0.045,0.019,0.01,0.01,0.01,0.045,0.892,1.067,1.039,0.576,0.01,0.009,0.01,0.009,0.01,0.009,0.01,0.01,0.009,0.01,0.009,0.01,0.037,0.039,0.01,0.009,0.009,0.01,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.356,0.917
2024-01-19,1.045,1.06,0.781,0.213,0.01,0.01,0.011,0.01,0.01,0.01,0.011,0.044,0.887,1.053,1.043,0.575,0.009,0.01,0.009,0.01,0.009,0.01,0.01,0.009,0.01,0.009,0.01,0.01,0.009,0.01,0.009,0.01,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.009,0.01,0.01,0.01,0.011,0.01,0.01,0.363,0.941
2024-01-20,1.062,1.052,0.792,0.224,0.011,0.01,0.01,0.011,0.01,0.01,0.011,0.04,0.894,1.071,1.069,0.635,0.026,0.009,0.01,0.01,0.009,0.01,0.01,0.009,0.01,0.009,0.04,0.021,0.009,0.01,0.01,0.009,0.01,0.01,0.01,0.01,0.034,0.028,0.01,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.392,0.933
2024-01-21,1.062,1.072,0.77,0.198,0.01,0.037,0.018,0.01,0.011,0.01,0.01,0.036,0.875,1.086,1.044,0.593,0.01,0.009,0.01,0.027,0.03,0.009,0.01,0.01,0.01,0.01,0.036,0.015,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.034,0.015,0.01,0.01,0.01,0.014,0.04,0.01,0.35,0.907
2024-01-22,1.028,1.058,0.757,0.192,0.01,0.01,0.038,0.01,0.01,0.01,0.011,0.057,0.864,1.042,1.035,0.591,0.022,0.026,0.01,0.009,0.01,0.017,0.03,0.01,0.011,0.01,0.027,0.019,0.009,0.01,0.017,0.028,0.009,0.01,0.01,0.035,0.011,0.01,0.01,0.01,0.037,0.01,0.01,0.01,0.01,0.033,0.367,0.932
2024-01-23,1.05,1.051,0.756,0.218,0.01,0.011,0.01,0.01,0.036,0.012,0.01,0.03,0.863,1.045,1.068,0.602,0.01,0.01,0.011,0.036,0.01,0.01,0.01,0.015,0.031,0.01,0.01,0.01,0.026,0.02,0.01,0.01,0.01,0.035,0.01,0.01,0.01,0.032,0.013,0.01,0.01,0.027,0.018,0.011,0.01,0.016,0.375,0.935
2024-01-24,1.071,1.068,0.792,0.197,0.01,0.01,0.035,0.01,0.011,0.01,0.035,0.033,0.858,1.028,1.051,0.594,0.01,0.01,0.028,0.015,0.01,0.01,0.023,0.021,0.009,0.01,0.012,0.033,0.009,0.01,0.01,0.035,0.009,0.01,0.01,0.03,0.016,0.01,0.01,0.011,0.035,0.01,0.01,0.011,0.019,0.028,0.355,0.915
2024-01-25,1.042,1.063,0.749,0.187,0.01,0.025,0.021,0.01,0.01,0.016,0.03,0.036,0.881,1.058,1.062,0.582,0.01,0.01,0.033,0.01,0.01,0.017,0.026,0.009,0.01,0.028,0.014,0.01,0.01,0.032,0.01,0.01,0.013,0.029,0.01,0.01,0.022,0.021,0.01,0.01,0.033,0.011,0.01,0.011,0.034,0.01,0.363,0.945
2024-01-26,1.101,1.075,0.774,0.221,0.01,0.01,0.019,0.026,0.01,0.01,0.029,0.04,0.868,1.05,1.042,0.59,0.01,0.009,0.026,0.019,0.01,0.009,0.018,0.026,0.009,0.01,0.026,0.017,0.01,0.016,0.027,0.01,0.009,0.032,0.01,0.01,0.019,0.024,0.011,0.01,0.022,0.022,0.01,0.01,0.02,0.025,0.349,0.923
2024-01-27,1.051,1.067,0.759,0.191,0.019,0.027,0.01,0.01,0.019,0.027,0.011,0.036,0.886,1.101,1.074,0.604,0.01,0.036,0.009,0.01,0.01,0.034,0.009,0.01,0.009,0.035,0.01,0.009,0.01,0.031,0.012,0.01,0.009,0.031,0.013,0.01,0.011,0.027,0.018,0.01,0.01,0.022,0.023,0.01,0.01,0.014,0.371,0.922
2024-01-28,1.063,1.058,0.781,0.195,0.01,0.017,0.027,0.011,0.01,0.024,0.02,0.032,0.863,1.068,1.05,0.603,0.01,0.033,0.01,0.009,0.028,0.015,0.01,0.009,0.033,0.01,0.01,0.015,0.027,0.009,0.01,0.03,0.013,0.01,0.01,0.033,0.01,0.01,0.016,0.028,0.01,0.01,0.025,0.019,0.01,0.01,0.373,0.923
2024-01-29,1.056,1.062,0.791,0.198,0.01,0.03,0.014,0.01,0.011,0.034,0.01,0.032,0.884,1.073,1.03,0.583,0.029,0.015,0.009,0.01,0.03,0.014,0.009,0.01,0.016,0.028,0.01,0.009,0.01,0.408,0.552,0.346,0.053,0.051,0.193,0.06,0.04,0.018,0.041,0.014,0.015,0.015,0.021,0.034,0.015,0.015,0.355,1.294
2024-01-30,1.57,1.567,1.281,0.407,0.015,0.015,0.015,0.039,0.015,0.015,0.015,0.065,1.363,1.512,1.487,0.766,0.04,0.015,0.014,0.014,0.037,0.017,0.015,0.014,0.014,0.041,0.014,0.015,0.014,0.04,0.014,0.014,0.014,0.03,0.023,0.015,0.015,0.014,0.042,0.015,0.014,0.015,0.015,0.035,0.023,0.015,0.356,1.288
2024-01-31,1.549,1.559,1.26,0.379,0.022,0.034,0.015,0.015,0.015,0.032,0.024,0.051,1.382,1.565,1.553,0.795,0.014,0.015,0.039,0.014,0.014,0.015,0.03,0.024,0.014,0.014,0.017,0.037,0.014,0.015,0.014,0.039,0.014,0.015,0.014,0.035,0.02,0.015,0.014,0.022,0.033,0.015,0.015,0.015,0.04,0.018,0.351,1.269
2024-02-01,1.524,1.547,1.248,0.381,0.024,0.03,0.014,0.015,0.015,0.04,0.015,0.05,1.338,1.514,1.537,0.793,0.014,0.015,0.04,0.014,0.014,0.014,0.021,0.034,0.014,0.014,0.015,0.033,0.021,0.014,0.014,0.031,0.023,0.014,0.014,0.023,0.032,0.014,0.015,0.015,0.04,0.015,0.015,0.014,0.021,0.035,0.357,1.296
2024-02-02,1.568,1.595,1.277,0.383,0.037,0.016,0.015,0.017,0.036,0.015,0.015,0.059,1.392,1.54,1.506,0.799,0.014,0.014,0.037,0.014,0.015,0.031,0.019,0.015,0.018,0.032,0.014,0.015,0.036,0.015,0.014,0.036,0.014,0.015,0.031,0.02,0.014,0.02,0.032,0.015,0.014,0.037,0.015,0.015,0.026,0.026,0.353,1.291
2024-02-03,1.558,1.536,1.274,0.396,0.015,0.035,0.015,0.015,0.036,0.015,0.015,0.062,1.355,1.54,1.533,0.79,0.035,0.014,0.015,0.034,0.014,0.026,0.023,0.014,0.034,0.014,0.014,0.034,0.014,0.021,0.025,0.014,0.033,0.014,0.015,0.034,0.014,0.017,0.033,0.014,0.016,0.034,0.015,0.019,0.031,0.014,0.356,1.296
