MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000847339,000000000034153614,0.0045,Active Export Interval (kWh),25-02-2025 00:00
10000847339,000000000034153614,0.2050,Active Import Interval (kWh),25-02-2025 00:00
10000847339,000000000034153614,0.0245,Active Import Interval (kWh),24-02-2025 23:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 23:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 23:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 23:00
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),24-02-2025 22:30
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),24-02-2025 22:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),24-02-2025 22:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 22:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 21:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 21:30
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 21:00
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 21:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 20:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 20:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 20:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),24-02-2025 20:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 19:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 19:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 19:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 19:00
10000847339,000000000034153614,0.0010,Active Export Interval (kWh),24-02-2025 18:30
10000847339,000000000034153614,0.0040,Active Import Interval (kWh),24-02-2025 18:30
10000847339,000000000034153614,0.0000,Active Export Interval (kWh),24-02-2025 18:00
10000847339,000000000034153614,0.0030,Active Import Interval (kWh),24-02-2025 18:00
10000847339,000000000034153614,0.0035,Active Import Interval (kWh),24-02-2025 17:30
10000847339,000000000034153614,0.0005,Active Export Interval (kWh),24-02-2025 17:30
10000847339,000000000034153614,0.0065,Active Import Interval (kWh),24-02-2025 17:00
10000847339,000000000034153614,0.0040,Active Export Interval (kWh),24-02-2025 17:00
10000847339,000000000034153614,0.0055,Active Import Interval (kWh),24-02-2025 16:30
10000847339,000000000034153614,0.0030,Active Export Interval (kWh),24-02-2025 16:30
10000847339,000000000034153614,0.1010,Active Export Interval (kWh),24-02-2025 16:00
