#MPRN: 10000847339
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-01-24,0.116,0.0725,0.073,0.094,0.095,0.05,0.058,0.061,0.0905,0.0755,0.0485,0.048,0.054,0.0915,0.063,0.047,0.0705,0.0795,0.0875,0.0515,0.048,0.152,0.242,0.164,0.1625,0.172,0.205,0.1495,0.035,0.04,0.005,0.005,0.0025,0.003,0.0035,0.003,0.0885,0.4275,0.1585,0.161,0.3065,0.145,0.1525,0.184,0.1975,0.1545,0.096,0.0865
2024-01-25,0.111,0.115,0.0855,0.063,0.0525,0.044,0.081,0.0675,0.062,0.062,0.0615,0.093,0.057,0.0405,0.0395,0.0735,0.088,0.2375,0.082,0.035,0.0075,0.006,0.0045,0.0025,0.003,0.0035,0.0045,0.0295,0.3265,0.177,0.007,0.0055,0.0025,0.0025,0.003,0.003,0.003,0.003,0.003,0.003,0.0565,0.137,0.0995,0.219,0.135,0.1435,0.139,0.0975
2024-01-26,0.0605,0.0845,0.095,0.0925,0.69,0.7425,0.65,0.3515,0.3775,0.2095,0.0495,0.049,0.0055,0.003,0.002,0.002,0.0025,0.008,0.0745,0.0645,0.059,0.0085,0.015,0.0035,0,0,0.14,0.0015,0.0285,0.001,0.0445,0.057,0.0015,0.0015,0.0015,0.0745,0.0025,0.126,0.164,0.093,0.0945,0.1465,0.1265,0.101,0.229,0.1215,0.1675,0.054
2024-01-27,0.0465,0.0455,0.0705,0.08,0.677,0.733,0.648,0.371,0.1545,0.0495,0.0495,0.0495,0.006,0.0035,0.004,0.004,0.003,0.003,0.074,0.03,0.004,0.0165,0.0035,0.0035,0.0395,0.004,0.029,0.0035,0.0045,0.004,0.006,0.0035,0.003,0.003,0.003,0.003,0.0095,0.0035,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.0035,0.0145
2024-01-28,0.0815,0.073,0.0735,0.105,0.747,0.741,0.6205,0.341,0.234,0.1065,0.0635,0.0625,0.006,0.0035,0.0035,0.004,0.003,0.0035,0.0105,0.0665,0.0165,0.0025,0.0025,0.1055,0.005,0.0035,0,0.0605,0,0.025,0.003,0.0075,0.031,0.1515,0.001,0,0.0005,0.0565,0,0,0,0.123,0.209,0.2565,0.113,0.143,0.129,0.108
2024-01-29,0.1425,0.066,0.1055,0.094,0.666,0.732,0.6275,0.365,0.176,0.078,0.062,0.056,0.003,0,0,0.0005,0,0.068,0.0005,0.001,0.005,0.0085,0.0075,0.0005,0.0025,0.007,0.007,0.001,0.054,0.0005,1.3525,0.382,0.024,0.0965,0.1385,0.1265,0.111,0.1185,0.127,0.1685,0.128,0.077,0.082,0.1925,0.148,0.105,0.1045,0.2215
2024-01-30,0.156,0.114,0.0805,0.074,0.699,0.744,0.715,0.3545,0.1515,0.062,0.062,0.0845,0.0075,0.003,0.003,0.003,0.003,0.0725,0.002,0.017,0.0005,0,0,0,0,0,0,0,0.0265,0.0065,0,0.0015,0.0025,0.0025,0.0035,0.003,0.003,0.008,0.047,0.003,0.003,0.003,0.021,0.003,0.0515,0.128,0.116,0.139
2024-01-31,0.243,0.0995,0.0905,0.0795,0.711,0.788,0.6285,0.3465,0.165,0.0505,0.093,0.0665,0.005,0.0035,0.0035,0.004,0.003,0.0045,0.062,0.05,0.0105,0.007,0.0325,0.0035,0.0035,0.003,0.0605,0.0205,0.0195,0.023,0.3435,0.228,0.251,0.3305,0.462,0.081,0.084,0.7425,0.207,0.1745,0.122,0.118,0.2795,0.157,0.103,0.074,0.0785,0.088
2024-02-01,0.119,0.08,0.0525,0.0575,0.7015,0.7835,0.679,0.3465,0.233,0.065,0.092,0.06,0.0055,0.0035,0.0035,0.003,0.002,0.0615,0.0025,0.0295,0.0025,0.0005,0,0.003,0,0,0,0,0.019,0.097,0.003,0.0045,0.0105,0.003,0.0405,0.003,0.2095,0.291,0.003,0.003,0.0035,0.0035,0.031,0.156,0.15,0.105,0.101,0.192
2024-02-02,0.139,0.124,0.0935,0.088,0.7145,0.815,0.6695,0.333,0.241,0.048,0.103,0.0915,0.0075,0.0035,0.003,0.002,0.0015,0.0045,0.059,0.0035,0.0445,0.0105,0.004,0.004,0.004,0.004,0.0495,0.045,0.0045,0.0055,0.0045,0.058,0.002,0.003,0.003,0.0025,0.002,0.0025,0.002,0.002,0.002,0.002,0.0025,0.0735,0.1005,0.1165,0.145,0.1115
2024-02-03,0.214,0.0715,0.1185,0.1065,0.698,0.7395,0.6235,0.3755,0.194,0.0495,0.0505,0.0495,0.0045,0.002,0.012,0.006,0.0025,0.0025,0.004,0.013,0.005,0.054,0.006,0.029,0.0265,0.0035,0.003,0.0035,0.0035,0.0595,0.0025,0.0255,0.003,0.003,0.0025,0.0025,0.0025,0.0025,0.1025,0.1935,0.104,0.1865,0.1955,0.1745,0.1715,0.2605,0.1935,0.18
2024-02-04,0.1385,0.072,0.0405,0.039,0.6645,0.782,0.695,0.3915,0.201,0.0495,0.0495,0.0495,0.0055,0.003,0.0035,0.003,0.0035,0.0035,0.0685,0.0145,0.0105,0.0085,0.1775,0.2025,0.2745,0.013,0.0065,0.036,0.076,0.0045,0.0045,0.0655,0.038,0.182,0.4275,0.1655,0.128,0.3025,0.6535,0.703,0.114,0.212,0.104,0.1155,0.168,0.166,0.135,0.117
2024-02-05,0.11,0.09,0.0975,0.0785,0.675,0.7375,0.674,0.382,0.305,0.0495,0.04,0.04,0.005,0.003,0.003,0.003,0.0025,0.0065,0.005,0.0055,0.065,0.0065,0.028,0.0055,0.008,0.007,0.004,0.007,0.043,0.006,0.0035,0.0775,0.021,0.002,0.002,0.002,0.0725,0.036,0.0025,0.079,0.1,0.1115,0.1405,0.119,0.1,0.1005,0.1275,0.144
2024-02-06,0.0635,0.0605,0.0685,0.108,0.7095,0.748,0.6525,0.365,0.229,0.0705,0.061,0.05,0.0045,0.0025,0.0025,0.003,0.0015,0.003,0.0035,0.0425,0.036,0.0295,0.0035,0.0075,0.0055,0.0395,0.0035,0.003,0.0415,0.7935,0.844,0.0055,0.005,0.0485,0.108,0.0875,0.08,0.075,0.1705,0.4885,0.3065,0.1955,0.1015,0.1455,0.1345,0.104,0.0825,0.074
2024-02-07,0.1155,0.2305,0.075,0.053,0.679,0.7755,0.6905,0.3355,0.155,0.047,0.0825,0.0765,0.005,0.003,0.003,0.003,0.0025,0.0555,0.002,0.002,0.0005,0,0,0,0,0.029,0.198,0.003,0.001,0,0.0635,0.0035,0.0065,0.0015,0.001,0.002,0.012,0.003,0.0025,0.001,0.434,0.98,0.794,0.154,0.17,0.2625,0.152,0.132
2024-02-08,0.1285,0.1445,0.166,0.0855,0.6895,0.741,0.6825,0.4005,0.164,0.073,0.072,0.1055,0.0065,0,0,0,0.0005,0.0645,0.0025,0.0275,0.0075,0.041,0.0845,0.0445,0.0005,0.0005,0.007,0.0405,0.048,0.0055,0.0345,0.001,0.002,0.002,0.001,0.0005,0.0005,0.1015,0.095,0.0905,0.09,0.0865,0.117,0.0985,0.073,0.073,0.073,0.1025
